
epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,0.004157523158937693,1e-04,0.03884256258606911,0.004157523158937693,0.0008190654334612191,0.020325465127825737,0.0008190654334612191
1,0.0005937936366535723,1e-04,0.017211034893989563,0.0005937936366535723,0.00043291307520121336,0.014663350768387318,0.00043291307520121336
2,0.00031726513407193124,1e-04,0.012438848614692688,0.00031726513407193124,0.00022451751283369958,0.010221462696790695,0.00022451751283369958
3,0.00018471908697392792,1e-04,0.009528852067887783,0.00018471908697392792,0.000133878318592906,0.007866991683840752,0.000133878318592906
4,0.0001199671532958746,1e-04,0.0077084084041416645,0.0001199671532958746,0.00011281993647571653,0.007692912593483925,0.00011281993647571653
5,8.415871707256883e-05,1e-04,0.0064393035136163235,8.415871707256883e-05,6.560945621458814e-05,0.005476311780512333,6.560945621458814e-05
6,6.384158041328192e-05,1e-04,0.005611610598862171,6.384158041328192e-05,5.062508716946468e-05,0.004817305598407984,5.062508716946468e-05
7,5.063119897386059e-05,1e-04,0.004990314599126577,5.063119897386059e-05,4.0886552596930414e-05,0.004354325123131275,4.0886552596930414e-05
8,4.1514802433084697e-05,1e-04,0.004533545579761267,4.1514802433084697e-05,3.6522535083349794e-05,0.004273177590221167,3.6522535083349794e-05
9,3.464373367023654e-05,1e-04,0.004156372509896755,3.464373367023654e-05,2.97416299872566e-05,0.0038502919487655163,2.97416299872566e-05
10,2.620188388391398e-05,5e-05,0.0035111412871629,2.620188388391398e-05,2.4126631615217775e-05,0.0033472366631031036,2.4126631615217775e-05
11,2.3963517378433608e-05,5e-05,0.003407667623832822,2.3963517378433608e-05,2.1463691155076958e-05,0.0031708618625998497,2.1463691155076958e-05
12,2.1500994989764877e-05,5e-05,0.003238969249650836,2.1500994989764877e-05,1.9207593140890822e-05,0.0030017634853720665,1.9207593140890822e-05
13,1.935736509039998e-05,5e-05,0.003078351728618145,1.935736509039998e-05,1.840259210439399e-05,0.002992957131937146,1.840259210439399e-05
14,1.7736878362484276e-05,5e-05,0.002955533331260085,1.7736878362484276e-05,1.5875266399234533e-05,0.0027380131650716066,1.5875266399234533e-05
15,1.5499323126277886e-05,2.5e-05,0.002708818530663848,1.5499323126277886e-05,1.6333160601789132e-05,0.0028548575937747955,1.6333160601789132e-05
16,1.4784782251808792e-05,2.5e-05,0.0026625515893101692,1.4784782251808792e-05,1.4130988347460516e-05,0.0025878874585032463,1.4130988347460516e-05
17,1.3998386748426128e-05,2.5e-05,0.0025946947280317545,1.3998386748426128e-05,1.3363481230044272e-05,0.002516574691981077,1.3363481230044272e-05
18,1.332495958195068e-05,2.5e-05,0.0025345177855342627,1.332495958195068e-05,1.274164424103219e-05,0.0024590797256678343,1.274164424103219e-05
19,1.2739235899061896e-05,2.5e-05,0.002480453345924616,1.2739235899061896e-05,1.2188032997073606e-05,0.0024059065617620945,1.2188032997073606e-05
20,1.2227645129314624e-05,2.5e-05,0.002431699074804783,1.2227645129314624e-05,1.1739812180167064e-05,0.00236448529176414,1.1739812180167064e-05
21,1.1775321581808385e-05,2.5e-05,0.0023874002508819103,1.1775321581808385e-05,1.1280525541224051e-05,0.0023141985293477774,1.1280525541224051e-05
22,1.1368069863237906e-05,2.5e-05,0.002346301218494773,1.1368069863237906e-05,1.0871822269109543e-05,0.002270720899105072,1.0871822269109543e-05
23,1.0997873687301762e-05,2.5e-05,0.0023080899845808744,1.0997873687301762e-05,1.0510666470509022e-05,0.0022311056964099407,1.0510666470509022e-05
24,1.0415489668957889e-05,1.25e-05,0.0022230511531233788,1.0415489668957889e-05,1.0287762052030303e-05,0.0022032323759049177,1.0287762052030303e-05
25,1.0221018783340696e-05,1.25e-05,0.0022062554489821196,1.0221018783340696e-05,1.0056498467747588e-05,0.0021790601313114166,1.0056498467747588e-05
26,9.978578418667894e-06,1.25e-05,0.002179526025429368,9.978578418667894e-06,9.809745279198978e-06,0.0021512622479349375,9.809745279198978e-06
27,9.74806971498765e-06,1.25e-05,0.0021538049913942814,9.74806971498765e-06,9.569550456944853e-06,0.0021254310850054026,9.569550456944853e-06
28,9.528856026008725e-06,1.25e-05,0.002128975698724389,9.528856026008725e-06,9.371507076139096e-06,0.00210408098064363,9.371507076139096e-06
29,9.280139238398988e-06,6.25e-06,0.002093410585075617,9.280139238398988e-06,9.245299224858172e-06,0.0020948650781065226,9.245299224858172e-06
